"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"LarvalHost",1,13086.027369973,13086.027369973,145.624842825045,2.4889056012093e-27
"MaternalHost",1,7.48661891203912,7.48661891203912,0.0833131149380254,0.773068099553272
"LarvalHost:MaternalHost",1,336.71802435426,336.71802435426,3.74708901232032,0.0538954262319478
"Residuals",283,25430.7278473879,89.8612291427135,NA,NA
