"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",65.3549019607843,0.938611976577983,69.6293075217908,4.16110828077511e-180
"LarvalHostBerteroa",-11.8512655971479,1.58582249083658,-7.47326114090862,9.80700978835722e-13
"MaternalHostBerteroa",1.36945701357466,1.4258539486451,0.960446906133666,0.337650203301474
"LarvalHostBerteroa:MaternalHostBerteroa",-4.49617030028795,2.32271405325131,-1.93573991339754,0.0538954262319478
